Sample ID,Coral ID,Dilution date,PCR 1 date,Gel date,Desired concentration (ng/ul),Qubit value (ng/ul),DNA for dilution (ul),water for dilution (ul),n =,PCR mix (ul),water (ul),F 16S primer (ul),R 16S primer (ul),Annealing temp C,Notes
53,2EV31,9/15/21,10/6/21,,5,7.76,6.443298969,3.556701031,100.8,630,277.2,126,126,70,
54,6FU18,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
55,FU4,7/27/21,9/23/21,10/14/21,5,7.38,6.775067751,3.224932249,100.8,630,277.2,126,126,70,
56,FU6,9/7/21,10/7/21,,5,8.98,5.567928731,4.432071269,88.2,551.25,242.55,110.25,110.25,70,
57,8GT25,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
58,2GT1,N/A,9/30/21,,5,4.64,10.77586207,-0.775862069,100.8,630,277.2,126,126,70,
59,0GT49,9/9/21,9/30/21,10/21/21,5,6.39,7.824726135,2.175273865,100.8,630,277.2,126,126,70,
60,0GT48,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
61,2GT45,9/9/21,10/7/21,,5,4.64,10.77586207,-0.775862069,88.2,551.25,242.55,110.25,110.25,70,
62,2GT29,9/15/21,10/7/21,,5,5.78,8.650519031,1.349480969,88.2,551.25,242.55,110.25,110.25,70,
63,2GT32,7/27/21,9/23/21,,5,6.52,7.668711656,2.331288344,100.8,630,277.2,126,126,70,
64,9GT33,N/A,,,5,4.47,11.18568233,-1.185682327,,,,,,,
65,9GT28,9/15/21,10/6/21,,5,4.96,10.08064516,-0.080645161,100.8,630,277.2,126,126,70,
66,6HS18,9/7/21,9/29/21,,5,6.51,7.680491551,2.319508449,100.8,630,277.2,126,126,70,
67,6HS16,9/7/21,9/23/21,,5,9.06,5.518763797,4.481236203,100.8,630,277.2,126,126,70,
68,0HS49,9/7/21,9/29/21,10/21/21,5,8.43,5.931198102,4.068801898,100.8,630,277.2,126,126,70,
69,9HS51,N/A,,,5,4.18,11.96172249,-1.961722488,,,,,,,
70,9HS50,N/A,,,5,4.21,11.87648456,-1.876484561,,,,,,,
71,8IR25,7/27/21,10/7/21,10/20/21,5,6.5,7.692307692,2.307692308,88.2,551.25,242.55,110.25,110.25,70,
72,2IR5,9/9/21,9/29/21,,5,8.31,6.016847172,3.983152828,100.8,630,277.2,126,126,70,
73,4IR13,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
74,0IR49,9/9/21,9/30/21,,5,9.74,5.133470226,4.866529774,100.8,630,277.2,126,126,70,
75,2IR33,N/A,,,5,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,
76,9IR10,9/14/21,10/6/21,,5,5.33,9.380863039,0.619136961,100.8,630,277.2,126,126,70,
77,2JQ10,9/15/21,10/6/21,,5,9.34,5.353319058,4.646680942,100.8,630,277.2,126,126,70,
78,2JQ28,9/7/21,9/29/21,,5,8.81,5.675368899,4.324631101,100.8,630,277.2,126,126,70,
79,9JQ39,9/7/21,9/29/21,10/20/21,5,5.07,9.861932939,0.138067061,100.8,630,277.2,126,126,70,
80,9JQ43,9/7/21,10/13/21,10/21/21,5,5.22,9.578544061,0.421455939,,,,,,,
81,1AZ4,9/14/21,9/30/21,10/21/21,5,10.2,4.901960784,5.098039216,100.8,630,277.2,126,126,70,
82,0BY50,9/15/21,10/6/21,,5,10.2,4.901960784,5.098039216,100.8,630,277.2,126,126,70,
83,6DW16,7/26/21,9/23/21,10/14/21,5,10.2,4.901960784,5.098039216,100.8,630,277.2,126,126,70,
